Threshold,TPR,FPR,Slope,Threshold_Label,AUC,difference
0,0,0,NA,NA,0.809,0
0,0.050605144,0.002269289,22.3,0,0.809,0.048335855
2000,0.211422088,0.010363086,19.86915888,NA,0.809,0.20105900200000001
4000,0.28827534,0.021709531,6.773333333,NA,0.809,0.266565809
6000,0.360665658,0.03570348,5.172972973,NA,0.809,0.324962178
8000,0.436762481,0.052118003,4.6359447,NA,0.809,0.38464447799999996
10000,0.496066566,0.068456884,3.62962963,10,0.809,0.427609682
12000,0.535627837,0.086686838,2.170124481,NA,0.809,0.44894099900000006
14000,0.561649017,0.105068079,1.41563786,NA,0.809,0.45658093800000005
16000,0.585098336,0.126172466,1.111111111,NA,0.809,0.45892587000000007
18000,0.612329803,0.145461422,1.411764706,NA,0.809,0.46686838099999994
20000,0.640468986,0.16376702,1.537190083,20,0.809,0.47670196600000003
22000,0.66633888,0.184568835,1.243636364,NA,0.809,0.481770045
24000,0.690015129,0.206354009,1.086805556,NA,0.809,0.48366111999999994
26000,0.712481089,0.226172466,1.133587786,NA,0.809,0.486308623
28000,0.730181543,0.245763994,0.903474903,NA,0.809,0.484417549
30000,0.749016641,0.266868381,0.892473118,30,0.809,0.48214826
32000,0.763388805,0.286459909,0.733590734,NA,0.809,0.47692889599999994
34000,0.770121029,0.306732224,0.332089552,NA,0.809,0.463388805
36000,0.777760968,0.326172466,0.392996109,NA,0.809,0.45158850200000006
38000,0.78366112,0.344024206,0.330508475,NA,0.809,0.439636914
40000,0.791225416,0.362027231,0.420168067,NA,0.809,0.42919818499999995
42000,0.809152799,0.380711044,0.95951417,NA,0.809,0.42844175500000004
44000,0.818154312,0.397049924,0.550925926,NA,0.809,0.421104388
46000,0.822995461,0.415431165,0.263374486,NA,0.809,0.407564296
48000,0.830030257,0.432072617,0.422727273,NA,0.809,0.39795764
50000,0.833963691,0.448108926,0.245283019,NA,0.809,0.385854765
52000,0.836762481,0.463842663,0.177884615,NA,0.809,0.37291981799999996
54000,0.843494705,0.479425113,0.432038835,NA,0.809,0.364069592
56000,0.853479576,0.493721634,0.698412698,NA,0.809,0.359757942
58000,0.864523449,0.506429652,0.869047619,NA,0.809,0.358093797
60000,0.869591528,0.520574887,0.35828877,NA,0.809,0.34901664099999996
62000,0.876853253,0.53366112,0.554913295,NA,0.809,0.34319213300000007
64000,0.882375189,0.546369138,0.43452381,NA,0.809,0.33600605100000003
