Threshold,TPR,FPR,Threshold_Label,AUC,difference
0,0,0,NA,0.585,0
0,0.0177760968229955,0.0133131618759455,0,0.585,0.004462934947049999
2000,0.454236006051437,0.319515885022693,NA,0.585,0.13472012102874398
4000,0.705219364599092,0.595839636913767,NA,0.585,0.109379727685325
6000,0.888804841149773,0.794326777609682,NA,0.585,0.09447806354009103
8000,0.953403933434191,0.914977307110439,NA,0.585,0.038426626323752044
10000,0.986459909228442,0.973071104387292,10,0.585,0.013388804841149904
12000,0.997125567322239,0.993116490166415,NA,0.585,0.004009077155823992
14000,1,0.999016641452345,NA,0.585,9.833585476549667e-4
16000,1,0.999697428139183,NA,0.585,3.02571860816947e-4
18000,1,1,NA,0.585,0
20000,1,1,20,0.585,0
22000,1,1,NA,0.585,0
24000,1,1,NA,0.585,0
26000,1,1,NA,0.585,0
28000,1,1,NA,0.585,0
30000,1,1,30,0.585,0
32000,1,1,NA,0.585,0
34000,1,1,NA,0.585,0
36000,1,1,NA,0.585,0
38000,1,1,NA,0.585,0
40000,1,1,NA,0.585,0
42000,1,1,NA,0.585,0
44000,1,1,NA,0.585,0
46000,1,1,NA,0.585,0
48000,1,1,NA,0.585,0
50000,1,1,NA,0.585,0
52000,1,1,NA,0.585,0
54000,1,1,NA,0.585,0
56000,1,1,NA,0.585,0
58000,1,1,NA,0.585,0
60000,1,1,NA,0.585,0
62000,1,1,NA,0.585,0
64000,1,1,NA,0.585,0
66000,1,1,NA,0.585,0
68000,1,1,NA,0.585,0
70000,1,1,NA,0.585,0
72000,1,1,NA,0.585,0
74000,1,1,NA,0.585,0
76000,1,1,NA,0.585,0
78000,1,1,NA,0.585,0
80000,1,1,NA,0.585,0
82000,1,1,NA,0.585,0
84000,1,1,NA,0.585,0
86000,1,1,NA,0.585,0
88000,1,1,NA,0.585,0
90000,1,1,NA,0.585,0
92000,1,1,NA,0.585,0
94000,1,1,NA,0.585,0
96000,1,1,NA,0.585,0
98000,1,1,NA,0.585,0
100000,1,1,NA,0.585,0
102000,1,1,NA,0.585,0
104000,1,1,NA,0.585,0
106000,1,1,NA,0.585,0
108000,1,1,NA,0.585,0
110000,1,1,NA,0.585,0
112000,1,1,NA,0.585,0
114000,1,1,NA,0.585,0
116000,1,1,NA,0.585,0
118000,1,1,NA,0.585,0
120000,1,1,NA,0.585,0
122000,1,1,NA,0.585,0
124000,1,1,NA,0.585,0
126000,1,1,NA,0.585,0
128000,1,1,NA,0.585,0
130000,1,1,NA,0.585,0
132000,1,1,NA,0.585,0
134000,1,1,NA,0.585,0
136000,1,1,NA,0.585,0
138000,1,1,NA,0.585,0
140000,1,1,NA,0.585,0
142000,1,1,NA,0.585,0
144000,1,1,NA,0.585,0
146000,1,1,NA,0.585,0
148000,1,1,NA,0.585,0
150000,1,1,NA,0.585,0
152000,1,1,NA,0.585,0
154000,1,1,NA,0.585,0
156000,1,1,NA,0.585,0
158000,1,1,NA,0.585,0
160000,1,1,NA,0.585,0
162000,1,1,NA,0.585,0
164000,1,1,NA,0.585,0
166000,1,1,NA,0.585,0
168000,1,1,NA,0.585,0
170000,1,1,NA,0.585,0
172000,1,1,NA,0.585,0
174000,1,1,NA,0.585,0
176000,1,1,NA,0.585,0
178000,1,1,NA,0.585,0
180000,1,1,NA,0.585,0
182000,1,1,NA,0.585,0
184000,1,1,NA,0.585,0
186000,1,1,NA,0.585,0
188000,1,1,NA,0.585,0
190000,1,1,NA,0.585,0
192000,1,1,NA,0.585,0
194000,1,1,NA,0.585,0
196000,1,1,NA,0.585,0
198000,1,1,NA,0.585,0
200000,1,1,NA,0.585,0
202000,1,1,NA,0.585,0
204000,1,1,NA,0.585,0
206000,1,1,NA,0.585,0
208000,1,1,NA,0.585,0
210000,1,1,NA,0.585,0
212000,1,1,NA,0.585,0
214000,1,1,NA,0.585,0
216000,1,1,NA,0.585,0
218000,1,1,NA,0.585,0
220000,1,1,NA,0.585,0
222000,1,1,NA,0.585,0
224000,1,1,NA,0.585,0
226000,1,1,NA,0.585,0
228000,1,1,NA,0.585,0
230000,1,1,NA,0.585,0
232000,1,1,NA,0.585,0
234000,1,1,NA,0.585,0
236000,1,1,NA,0.585,0
238000,1,1,NA,0.585,0
240000,1,1,NA,0.585,0
242000,1,1,NA,0.585,0
244000,1,1,NA,0.585,0
246000,1,1,NA,0.585,0
248000,1,1,NA,0.585,0
250000,1,1,NA,0.585,0
252000,1,1,NA,0.585,0
254000,1,1,NA,0.585,0
256000,1,1,NA,0.585,0
258000,1,1,NA,0.585,0
260000,1,1,NA,0.585,0
262000,1,1,NA,0.585,0
264000,1,1,NA,0.585,0
266000,1,1,NA,0.585,0
268000,1,1,NA,0.585,0
270000,1,1,NA,0.585,0
272000,1,1,NA,0.585,0
274000,1,1,NA,0.585,0
276000,1,1,NA,0.585,0
278000,1,1,NA,0.585,0
280000,1,1,NA,0.585,0
282000,1,1,NA,0.585,0
284000,1,1,NA,0.585,0
286000,1,1,NA,0.585,0
288000,1,1,NA,0.585,0
290000,1,1,NA,0.585,0
292000,1,1,NA,0.585,0
294000,1,1,NA,0.585,0
296000,1,1,NA,0.585,0
298000,1,1,NA,0.585,0
300000,1,1,NA,0.585,0
302000,1,1,NA,0.585,0
304000,1,1,NA,0.585,0
306000,1,1,NA,0.585,0
308000,1,1,NA,0.585,0
310000,1,1,NA,0.585,0
312000,1,1,NA,0.585,0
314000,1,1,NA,0.585,0
316000,1,1,NA,0.585,0
318000,1,1,NA,0.585,0
320000,1,1,NA,0.585,0
322000,1,1,NA,0.585,0
324000,1,1,NA,0.585,0
326000,1,1,NA,0.585,0
328000,1,1,NA,0.585,0
330000,1,1,NA,0.585,0
332000,1,1,NA,0.585,0
334000,1,1,NA,0.585,0
336000,1,1,NA,0.585,0
338000,1,1,NA,0.585,0
340000,1,1,NA,0.585,0
342000,1,1,NA,0.585,0
344000,1,1,NA,0.585,0
346000,1,1,NA,0.585,0
348000,1,1,NA,0.585,0
350000,1,1,NA,0.585,0
352000,1,1,NA,0.585,0
354000,1,1,NA,0.585,0
356000,1,1,NA,0.585,0
358000,1,1,NA,0.585,0
360000,1,1,NA,0.585,0
362000,1,1,NA,0.585,0
364000,1,1,NA,0.585,0
366000,1,1,NA,0.585,0
368000,1,1,NA,0.585,0
370000,1,1,NA,0.585,0
372000,1,1,NA,0.585,0
374000,1,1,NA,0.585,0
376000,1,1,NA,0.585,0
378000,1,1,NA,0.585,0
380000,1,1,NA,0.585,0
382000,1,1,NA,0.585,0
384000,1,1,NA,0.585,0
386000,1,1,NA,0.585,0
388000,1,1,NA,0.585,0
390000,1,1,NA,0.585,0
392000,1,1,NA,0.585,0
394000,1,1,NA,0.585,0
396000,1,1,NA,0.585,0
398000,1,1,NA,0.585,0
400000,1,1,NA,0.585,0
402000,1,1,NA,0.585,0
404000,1,1,NA,0.585,0
406000,1,1,NA,0.585,0
408000,1,1,NA,0.585,0
410000,1,1,NA,0.585,0
412000,1,1,NA,0.585,0
414000,1,1,NA,0.585,0
416000,1,1,NA,0.585,0
418000,1,1,NA,0.585,0
420000,1,1,NA,0.585,0
422000,1,1,NA,0.585,0
424000,1,1,NA,0.585,0
426000,1,1,NA,0.585,0
428000,1,1,NA,0.585,0
430000,1,1,NA,0.585,0
432000,1,1,NA,0.585,0
434000,1,1,NA,0.585,0
436000,1,1,NA,0.585,0
438000,1,1,NA,0.585,0
440000,1,1,NA,0.585,0
442000,1,1,NA,0.585,0
444000,1,1,NA,0.585,0
446000,1,1,NA,0.585,0
448000,1,1,NA,0.585,0
450000,1,1,NA,0.585,0
452000,1,1,NA,0.585,0
454000,1,1,NA,0.585,0
456000,1,1,NA,0.585,0
458000,1,1,NA,0.585,0
460000,1,1,NA,0.585,0
462000,1,1,NA,0.585,0
464000,1,1,NA,0.585,0
466000,1,1,NA,0.585,0
468000,1,1,NA,0.585,0
470000,1,1,NA,0.585,0
472000,1,1,NA,0.585,0
474000,1,1,NA,0.585,0
476000,1,1,NA,0.585,0
478000,1,1,NA,0.585,0
480000,1,1,NA,0.585,0
482000,1,1,NA,0.585,0
484000,1,1,NA,0.585,0
486000,1,1,NA,0.585,0
488000,1,1,NA,0.585,0
490000,1,1,NA,0.585,0
492000,1,1,NA,0.585,0
494000,1,1,NA,0.585,0
496000,1,1,NA,0.585,0
498000,1,1,NA,0.585,0
500000,1,1,NA,0.585,0
502000,1,1,NA,0.585,0
504000,1,1,NA,0.585,0
506000,1,1,NA,0.585,0
508000,1,1,NA,0.585,0
510000,1,1,NA,0.585,0
512000,1,1,NA,0.585,0
514000,1,1,NA,0.585,0
516000,1,1,NA,0.585,0
518000,1,1,NA,0.585,0
520000,1,1,NA,0.585,0
522000,1,1,NA,0.585,0
524000,1,1,NA,0.585,0
526000,1,1,NA,0.585,0
528000,1,1,NA,0.585,0
530000,1,1,NA,0.585,0
532000,1,1,NA,0.585,0
534000,1,1,NA,0.585,0
536000,1,1,NA,0.585,0
538000,1,1,NA,0.585,0
540000,1,1,NA,0.585,0
542000,1,1,NA,0.585,0
544000,1,1,NA,0.585,0
546000,1,1,NA,0.585,0
548000,1,1,NA,0.585,0
550000,1,1,NA,0.585,0
552000,1,1,NA,0.585,0
554000,1,1,NA,0.585,0
556000,1,1,NA,0.585,0
558000,1,1,NA,0.585,0
560000,1,1,NA,0.585,0
562000,1,1,NA,0.585,0
564000,1,1,NA,0.585,0
566000,1,1,NA,0.585,0
568000,1,1,NA,0.585,0
570000,1,1,NA,0.585,0
572000,1,1,NA,0.585,0
574000,1,1,NA,0.585,0
576000,1,1,NA,0.585,0
578000,1,1,NA,0.585,0
580000,1,1,NA,0.585,0
582000,1,1,NA,0.585,0
584000,1,1,NA,0.585,0
586000,1,1,NA,0.585,0
588000,1,1,NA,0.585,0
590000,1,1,NA,0.585,0
592000,1,1,NA,0.585,0
594000,1,1,NA,0.585,0
596000,1,1,NA,0.585,0
598000,1,1,NA,0.585,0
600000,1,1,NA,0.585,0
602000,1,1,NA,0.585,0
604000,1,1,NA,0.585,0
606000,1,1,NA,0.585,0
608000,1,1,NA,0.585,0
610000,1,1,NA,0.585,0
612000,1,1,NA,0.585,0
614000,1,1,NA,0.585,0
616000,1,1,NA,0.585,0
618000,1,1,NA,0.585,0
620000,1,1,NA,0.585,0
622000,1,1,NA,0.585,0
624000,1,1,NA,0.585,0
626000,1,1,NA,0.585,0
628000,1,1,NA,0.585,0
630000,1,1,NA,0.585,0
632000,1,1,NA,0.585,0
634000,1,1,NA,0.585,0
636000,1,1,NA,0.585,0
638000,1,1,NA,0.585,0
640000,1,1,NA,0.585,0
642000,1,1,NA,0.585,0
644000,1,1,NA,0.585,0
646000,1,1,NA,0.585,0
648000,1,1,NA,0.585,0
650000,1,1,NA,0.585,0
652000,1,1,NA,0.585,0
654000,1,1,NA,0.585,0
656000,1,1,NA,0.585,0
658000,1,1,NA,0.585,0
660000,1,1,NA,0.585,0
662000,1,1,NA,0.585,0
664000,1,1,NA,0.585,0
666000,1,1,NA,0.585,0
668000,1,1,NA,0.585,0
670000,1,1,NA,0.585,0
672000,1,1,NA,0.585,0
674000,1,1,NA,0.585,0
676000,1,1,NA,0.585,0
678000,1,1,NA,0.585,0
680000,1,1,NA,0.585,0
682000,1,1,NA,0.585,0
684000,1,1,NA,0.585,0
686000,1,1,NA,0.585,0
688000,1,1,NA,0.585,0
690000,1,1,NA,0.585,0
692000,1,1,NA,0.585,0
694000,1,1,NA,0.585,0
696000,1,1,NA,0.585,0
698000,1,1,NA,0.585,0
700000,1,1,NA,0.585,0
702000,1,1,NA,0.585,0
704000,1,1,NA,0.585,0
706000,1,1,NA,0.585,0
708000,1,1,NA,0.585,0
710000,1,1,NA,0.585,0
712000,1,1,NA,0.585,0
714000,1,1,NA,0.585,0
716000,1,1,NA,0.585,0
718000,1,1,NA,0.585,0
720000,1,1,NA,0.585,0
722000,1,1,NA,0.585,0
724000,1,1,NA,0.585,0
726000,1,1,NA,0.585,0
728000,1,1,NA,0.585,0
730000,1,1,NA,0.585,0
732000,1,1,NA,0.585,0
734000,1,1,NA,0.585,0
736000,1,1,NA,0.585,0
738000,1,1,NA,0.585,0
740000,1,1,NA,0.585,0
742000,1,1,NA,0.585,0
744000,1,1,NA,0.585,0
746000,1,1,NA,0.585,0
748000,1,1,NA,0.585,0
750000,1,1,NA,0.585,0
752000,1,1,NA,0.585,0
754000,1,1,NA,0.585,0
756000,1,1,NA,0.585,0
758000,1,1,NA,0.585,0
760000,1,1,NA,0.585,0
762000,1,1,NA,0.585,0
764000,1,1,NA,0.585,0
766000,1,1,NA,0.585,0
768000,1,1,NA,0.585,0
770000,1,1,NA,0.585,0
772000,1,1,NA,0.585,0
774000,1,1,NA,0.585,0
776000,1,1,NA,0.585,0
778000,1,1,NA,0.585,0
780000,1,1,NA,0.585,0
782000,1,1,NA,0.585,0
784000,1,1,NA,0.585,0
786000,1,1,NA,0.585,0
788000,1,1,NA,0.585,0
790000,1,1,NA,0.585,0
792000,1,1,NA,0.585,0
794000,1,1,NA,0.585,0
796000,1,1,NA,0.585,0
798000,1,1,NA,0.585,0
800000,1,1,NA,0.585,0
802000,1,1,NA,0.585,0
804000,1,1,NA,0.585,0
806000,1,1,NA,0.585,0
808000,1,1,NA,0.585,0
810000,1,1,NA,0.585,0
